RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
311,NJIT,AE,19,12-Jul,94.3,107.7,0.1788,45.9,52.3,16.2,20.9,24.1,29.2,34.2,29.4,46,53.8,30.5,33.2,67.8,-9.7
,,,,6–10,298,283,311,312,264,42,59,271,223,95,125,296,298,303,135,191,270
312,Tennessee Tech,OVC,27,22-May,95.8,109.5,0.1774,50.1,54.8,22.6,18.1,26.5,27.8,27,26.7,51.6,56,32.1,35.3,69,-16.8
,,,,5–15,281,303,312,165,329,328,210,207,165,285,55,95,334,249,253,128,345
313,Hampton,BSth,25,14-Nov,96.2,110,0.1764,49.5,49.2,18.2,17.9,22.2,31.9,28.6,35.4,49.3,48.3,33.2,33.8,70.4,-12
,,,,9–9,275,310,313,190,130,131,224,316,309,246,270,185,115,190,169,78,302
314,Dixie St.,WAC,19,13-Aug,92.3,105.8,0.1729,45.5,52,20.9,19.7,24.7,32.6,35.4,36.5,45.9,53.9,29.7,32.5,72.7,-9.9
,,,,4–10,321,248,314,319,253,273,112,251,323,72,285,298,301,322,98,18,271
315,Kennesaw St.,ASun,21,19-May,91,104.3,0.1725,45.8,52.2,20.6,17.1,24.1,25.2,30.6,32.7,46.7,54.4,29.4,31.8,69,-15.3
,,,,2–13,334,217,315,313,262,259,276,271,67,195,201,280,312,326,66,127,337
316,Fordham,A10,14,12-Feb,87.6,100.5,0.172,41.4,51.5,20.8,19.2,19.2,30.4,27.5,27.8,42.2,52.8,26.9,33.4,63.3,-8.4
,,,,2–11,341,137,316,346,231,269,140,339,263,277,81,342,275,343,142,338,243
317,Lehigh,Pat,15,11-Apr,92.8,106.5,0.1702,47.1,53.2,18.2,16.9,24.9,23.7,27.9,32.8,47,52.3,31.6,36.6,69.5,-9.4
,,,,4–10,314,264,317,288,299,131,282,246,28,265,204,274,266,270,302,105,265
318,Grambling St.,SWAC,23,12-Dec,92.8,106.6,0.1682,47.8,46.7,21.6,21,26.2,31.8,41.8,38,46.9,43.9,33.3,34.2,69.8,-9.1
,,,,9–6,313,266,318,271,33,303,57,220,304,6,302,276,9,181,195,96,260
319,Cal Poly,BW,23,20-Apr,91.1,104.8,0.1658,44.5,50.6,20.3,18.2,22,29.9,29.5,36.5,42.9,49.1,31.5,35.7,66.6,-15.5
,,,,1–15,333,232,319,334,193,244,202,317,248,227,285,339,137,273,269,243,339
320,Northern Arizona,BSky,22,16-Jun,97.3,112.2,0.1623,48,58.2,17.9,18.4,23.8,27.9,30.4,33.2,45.8,60.4,35,37,64,-11.3
,,,,4–10,263,331,320,258,344,118,191,278,168,200,209,300,345,108,317,328,291
321,USC Upstate,BSth,22,18-May,94.9,109.5,0.1619,49,53.7,20.8,18.7,24,29.6,29.8,35.2,47.7,54.6,33.9,34.7,68.5,-14.7
,,,,5–11,292,304,321,211,310,269,166,275,237,216,263,254,315,158,228,154,335
322,Tennessee St.,OVC,22,19-Apr,92.1,106.3,0.1616,47,50.9,20.9,22.1,24.8,30.6,32.7,44.5,49.1,50.9,28.8,34,70.8,-16.3
,,,,3–17,325,260,322,291,204,273,29,249,272,143,339,192,221,335,183,62,343
323,SIU Edwardsville,OVC,25,17-Sep,93.1,107.5,0.1598,49.2,52.6,22.8,19.6,26.7,31.8,33.2,33.7,50.5,53.4,31.2,34.2,68.1,-13
,,,,7–12,308,280,323,204,276,331,121,201,304,124,226,131,289,285,195,173,319
324,Central Arkansas,Slnd,23,19-May,97.9,113.8,0.1507,49.3,53.9,23.9,15.4,28.9,28.5,32.4,28.8,46.8,51.7,36,38.2,71.3,-13.2
,,,,4–12,255,341,324,201,311,342,328,135,194,152,109,277,251,64,330,48,321
325,Charleston Southern,BSth,20,18-Mar,92.2,107.3,0.1479,46.5,50.7,23.6,17.6,27.4,31.3,30.1,34.4,46.4,50.3,31.1,34.3,69.5,-15.3
,,,,2–15,324,276,325,302,195,339,249,182,285,206,247,289,188,289,203,103,338
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
326,Presbyterian,BSth,21,15-Jul,91.8,107.3,0.1439,46.7,52.9,23.1,22.3,32.6,28.4,35.2,41.7,47.3,53.3,30.3,34.9,65.3,-13
,,,,5–12,328,275,326,297,286,333,26,39,191,77,332,261,285,308,234,296,317
327,Northern Illinois,MAC,19,16-Mar,94.8,111.1,0.1385,44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,42.8,52,32.4,39,65.5,-11.7
,,,,2–12,294,317,327,335,326,240,288,39,285,331,232,341,256,231,339,292,298
328,Incarnate Word,Slnd,19,14-Aug,95,112.4,0.1271,50.3,52.1,20.6,18.5,23,32.2,32.5,33.8,45.8,55.1,38.2,30.7,64.7,-11.6
,,,,5–9,291,333,328,157,258,259,184,300,314,150,232,300,323,11,31,316,297
329,Maine,AE,9,7-Feb,86.5,102.8,0.1218,45.1,48.7,25,20.8,23.8,30.5,27.2,30.9,43.4,50.2,31.5,30.9,65.3,-5.7
,,,,2–6,343,185,329,327,108,347,65,278,267,280,161,334,183,273,37,297,165
330,McNeese St.,Slnd,18,14-Oct,95.8,113.8,0.1217,53.1,54.7,23,17.7,27,28.1,30.7,30.7,51.7,52.5,37.2,39,68.2,-12.5
,,,,4–10,280,342,330,52,326,332,245,188,179,191,158,89,268,30,339,166,312
331,Denver,Sum,20,19-Feb,94.5,112.6,0.1185,49.8,55.8,20.9,19,22,26.1,34.1,43,48.6,53.8,34.8,39.3,70.6,-16.5
,,,,1–13,297,336,331,180,340,273,146,317,99,99,336,218,298,114,342,68,344
332,Howard,MEAC,4,4-Jan,96.1,114.6,0.1167,51.1,53.5,18.5,12.6,20.4,31.2,37.1,27.1,50.4,55.9,34.6,33.9,70.5,-3.4
,,,,0–0,277,344,332,117,304,150,347,331,283,42,63,135,333,127,177,70,116
333,Central Connecticut,NEC,21,16-May,93.1,111.1,0.1159,48.5,53.9,19.7,20.1,23.7,32.9,28.4,30.4,48.5,54.6,32.4,35.2,70.5,-13.5
,,,,5–13,306,316,333,242,311,211,89,283,326,252,149,224,315,231,246,71,323
334,Alcorn St.,SWAC,19,13-Jun,91.8,109.9,0.1129,44.4,55.4,20.4,22.1,30.1,30.5,34,50.1,44,57.7,30.1,34.6,69.3,-9.4
,,,,6–7,329,308,334,335,334,250,29,99,267,103,346,328,341,311,225,115,264
335,Texas A&M Corpus Chris,Slnd,21,19-May,90.4,108.5,0.1093,46.9,51.7,23.8,19.3,24.6,29.3,34.8,31.2,45.1,51.7,33.3,34.4,69.3,-15.8
,,,,2–13,338,293,335,293,241,341,133,255,226,80,164,316,251,181,212,111,340
336,Tennessee Martin,OVC,23,16-Aug,93.5,112.6,0.1055,45.6,57.3,21,20.6,28.7,32.9,28.3,36.5,43.3,58.2,33.2,37.4,67.3,-12.7
,,,,6–14,303,337,336,317,341,280,72,143,326,255,285,335,342,190,320,210,314
337,Idaho,BSky,22,21-Jan,92.5,111.6,0.1031,48.5,54.3,24,17.1,22,29.7,29.6,35.8,47.4,52.6,34.1,38.1,66.9,-17.3
,,,,1–17,318,325,337,242,319,345,276,317,243,226,279,259,270,147,327,232,346
338,North Carolina Central,MEAC,13,9-May,92.2,112.5,0.0922,46.9,51,21.4,20.8,26.4,33.6,34.5,38.3,45.3,50.9,33.1,34.2,65.8,-6.9
,,,,3–5,322,335,338,293,210,294,65,211,336,87,304,315,221,199,195,282,198
339,Southeastern Louisiana,Slnd,26,18-Aug,91.9,112.2,0.0913,45.4,55.3,21.9,22.2,31.2,30,41,37.9,46.5,56.3,29.2,35.9,68.6,-14.3
,,,,5–11,327,332,339,320,333,314,28,71,252,10,300,285,337,329,279,145,332
340,Alabama A&M,SWAC,15,9-Jun,85.7,104.8,0.0904,44.8,44,21.4,18,28.2,29.4,31.8,37.4,45.5,44.8,28.8,28.3,67.2,-8.1
,,,,4–9,345,231,340,331,3,294,217,157,229,160,297,309,14,335,3,216,236
341,Houston Baptist,Slnd,24,19-Jun,91.1,112.4,0.0819,48.7,54.1,22.6,18.6,25.7,31.2,28.1,28.2,47.9,55.7,33.3,34.3,72.5,-14.9
,,,,4–11,332,334,341,226,315,328,174,237,283,259,92,246,328,181,203,22,336
342,Arkansas Pine Bluff,SWAC,25,21-Apr,91,114.5,0.0667,43.2,54.1,22.5,18.4,27.2,32.2,38.6,38.3,41.9,51.2,30.8,40,67.7,-15.9
,,,,3–12,335,343,342,343,315,326,191,185,314,23,304,343,235,298,346,196,341
343,Delaware St.,MEAC,17,16-Mar,91.1,116,0.0589,45.7,54.7,22.3,18.7,26.3,32.3,29.8,45.5,45,55.6,31.1,35.5,73.2,-13.7
,,,,1–11,331,345,343,316,326,319,166,217,317,216,340,317,327,289,262,13,327
344,Alabama St.,SWAC,18,14-Apr,86.6,112,0.0498,43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,41.3,49,31.7,32.5,69.9,-13.2
,,,,4–14,342,329,344,342,118,319,72,116,237,4,294,346,136,267,98,93,322
345,South Carolina St.,MEAC,18,17-Jan,86.1,111.9,0.0469,44.9,55.6,23.9,22.6,26.2,33.4,27.8,35.7,43.2,56.4,31.9,36.1,72.6,-14.6
,,,,1–7,344,328,345,330,338,342,19,220,333,272,275,337,338,256,284,20,334
346,Chicago St.,WAC,9,0-9,85.3,117.5,0.0245,41.3,60.1,21.8,16.2,16.6,37.9,25.4,32.8,43.9,60.6,25.1,39.5,70.3,-5.8
,,,,0–0,346,346,346,347,347,312,307,345,347,315,204,331,346,347,343,82,168
347,Mississippi Valley St.,SWAC,24,22-Feb,80.2,119.9,0.0097,43.6,55,24.2,14.9,18.1,35.8,24.7,32.6,38.3,55.7,32.9,35.8,72.1,-17.3
,,,,2–13,347,347,347,341,332,346,335,342,344,323,200,347,328,210,273,28,347
